owner,check_1,check_2,filename,title,author_surname,author_givenname,year,birth_year,genre,form,country,wordcount,language,pov,gender,horror,detective,adaptation,downloads,source_url,age,dScience
ks2373,aj445,jw2295,Little_Women_Alcott.txt,Little Women,Alcott,Louisa May,1868,1832,"comedy, children's literature",novel,us,186062,en,third,female,0,0,1,11573,http://www.gutenberg.org/cache/epub/514/pg514.txt,36,0
jh976,sml347,jcm497,The_Great_God_Pan.txt,The Great God Pan,Arthur,Machen,1894,1863,Horror,novella,uk,21639,en,third,male,1,0,1,1061,http://www.gutenberg.org/cache/epub/389/pg389.txt,31,0
jz543,asc334,aml449,The_Lost_Kafoozalum.txt,The Lost Kafoozalum,Ashwell,Pauline,1960,1928,Science Fiction,novel,gb,22170,en,first,female,0,0,0,41,http://www.gutenberg.org/ebooks/30427,32,1
yw458,sml347,me363,mansfield_park.txt,Mansfield Park,Austen,Jane,1814,1775,"romance, historical",novel,gb,159526,en,third,female,0,0,1,3613,http://www.gutenberg.org/ebooks/141,39,0
kjk248,ay329,jcm497,pride_and_prejudice.txt,Pride and Prejudice,Austen,Jane,1813,1775,"fiction, romance",novel,us,121609,en,third,female,0,0,1,66796,http://www.gutenberg.org/ebooks/1342,38,0
rb725,cf446,,NORTHANGER_ABBEY.txt,NORTHANGER ABBEY,AUSTEN,JANE,1817,1775,HORROR,novel,us,70464,en,third,female,1,0,1,5170,http://www.gutenberg.org/ebooks/121,42,0
xw235,pem94,swt53,emma.txt,Emma,Austen,Jane,1815,1775,"romance, fiction",novel,uk,160463,en,third,female,0,0,1,10739,http://www.gutenberg.org/ebooks/158,40,0
rrs232,sml347,xw235,persuasion.txt,Persuasion,Austen,Jane,1818,1775,"Romance, fiction",novel,gb,83361,en,third,female,0,0,1,3920,http://www.gutenberg.org/ebooks/105,43,0
djs488,aj445,,Sense_and_Sensibility.txt,Sense and Sensibility,Austen,Jane,1811,1775,"romance, fiction",novel,gb,119394,en,third,female,0,0,1,5883,http://www.gutenberg.org/ebooks/161,36,0
db758,ks2373,yw458,Wonderful_Wizard_Oz_Baum.txt,The Wonderful Wizard of Oz,Baum,L. Frank,1900,1856,"fantasy, children's novel",novel,us,42006,en,third,male,0,0,1,9299,http://www.gutenberg.org/ebooks/55,44,0
vi35,em682,kjk248,Uncle_Toms_Cabin_BeecherStowe.txt,Uncle Tom's Cabin,Beecher-Stowe,Harriet,1852,1811,fiction,novel,us,180242,en,third,female,0,0,0,11934,https://www.gutenberg.org/ebooks/203,41,0
djr288,jmy53,hs932,blackwood_damned.txt,The Damned,Blackwood,Algernon,1914,1869,horror,novel,uk,31416,en,first,male,1,0,0,136,http://www.gutenberg.org/ebooks/11074,45,0
sw585,asc334,tp294,four_weird_tales.txt,Four Weird Tales,Blackwood,Algernon,1912,1869,horror,short stories,uk,55013,en,third,male,1,0,0,305,http://www.gutenberg.org/ebooks/16726,43,0
xw568,sjm382,ks783,a_sweet_little_maid.txt,A Sweet Little Maid,Blanchard,Amy Ella,1899,1854,Juvenile Fiction,novel,us,37526,en,third,female,0,0,0,13,https://www.gutenberg.org/ebooks/19025,45,0
ay329,xw568,em682,black_amazon_of_mars.txt,Black amazon of mars,Brackett,Leigh,1951,1915,science fiction,novel,us,23919,en,third,female,0,0,0,171,http://www.gutenberg.org/ebooks/32664,36,1
ks783,ar699,swt53,The_Door_Through_Space.txt,The Door Through Space,Bradley,Marion Zimmer,1961,1930,science fiction,novel,us,41563,en,first,female,0,0,0,214,http://www.gutenberg.org/ebooks/19726,31,1
aml449,kjh233,,The_Planet_Savers.txt,The Planet Savers,Bradley,Marion Zimmer,1962,1930,Science Fiction,novel,us,26738,en,first,female,0,0,0,131,http://www.gutenberg.org/cache/epub/31619/pg31619.txt,32,1
az346,xw568,aja267,Jane_Eyre_Bronte.txt,Jane Eyre,Bronte,Charlotte,1847,1816,"romance, historical",novel,gb,187479,en,first,female,0,0,1,18110,http://www.gutenberg.org/ebooks/1260,31,0
em682,db758,swt53,wuthering_heights_bronte.txt,Wuthering Heights,Bronte,Emily,1847,1818,"gothic, romance, history",novel,gb,115902,en,first,female,0,0,1,9002,http://www.gutenberg.org/ebooks/768,29,0
lgl47,jmh527,vi35,alice_in_wonderland.txt,Alice's Adventures in Wonderland,Carroll,Lewis,1865,1832,"fantasy fiction, absurdist fiction",novel,gb,26432,en,third,male,0,0,1,39839,http://www.gutenberg.org/ebooks/28885,33,0
as2778,aml449,pem94,king_in_yellow.txt,The King in Yellow,Chambers,Robert,1895,1865,"horror, fantasy, fiction",short stories,us,71535,en,third,male,1,0,0,3431,http://www.gutenberg.org/ebooks/8492,30,0
az346,aja267,xw568,The_Man_In_The_Brown_Suit_Christie.txt,The Man in the Brown Suit,Christie,Agatha,1924,1890,"detective, thriller",novel,gb,76096,en,first,female,0,1,1,1840,http://www.gutenberg.org/ebooks/61168,34,0
